shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
5, 5,0.50,15,5,0.75
1, 9,0.10,11,9,0.55
5, 5,0.50,15,5,0.75
3, 7,0.30,12,8,0.60
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
2, 8,0.20,11,9,0.55
2, 8,0.20,12,8,0.60
1, 9,0.10,11,9,0.55
1, 9,0.10,11,9,0.55
2, 8,0.20,12,8,0.60
4, 6,0.40,13,7,0.65
4, 6,0.40,14,6,0.70
5, 5,0.50,15,5,0.75
5, 5,0.50,15,5,0.75
1, 9,0.10,11,9,0.55
4, 6,0.40,14,6,0.70
2, 8,0.20,12,8,0.60
3, 7,0.30,13,7,0.65
1, 9,0.10,11,9,0.55
2, 8,0.20,12,8,0.60
2, 8,0.20,12,8,0.60
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
2, 8,0.20,12,8,0.60
2, 8,0.20,12,8,0.60
2, 8,0.20,11,9,0.55
1, 9,0.10,11,9,0.55
6, 4,0.60,15,5,0.75
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
0, 10,0.00,10,10,0.50
0, 10,0.00,9,11,0.45
5, 5,0.50,15,5,0.75
1, 9,0.10,11,9,0.55
4, 6,0.40,14,6,0.70
2, 8,0.20,12,8,0.60
2, 8,0.20,12,8,0.60
5, 5,0.50,15,5,0.75
4, 6,0.40,13,7,0.65
5, 5,0.50,14,6,0.70
3, 7,0.30,13,7,0.65
2, 8,0.20,12,8,0.60
4, 6,0.40,14,6,0.70
4, 6,0.40,14,6,0.70
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
4, 6,0.40,14,6,0.70
4, 6,0.40,13,7,0.65
1, 9,0.10,11,9,0.55
1, 9,0.10,11,9,0.55
5, 5,0.50,14,6,0.70
2, 8,0.20,11,9,0.55
5, 5,0.50,15,5,0.75
3, 7,0.30,12,8,0.60
5, 5,0.50,15,5,0.75
2, 8,0.20,12,8,0.60
0, 10,0.00,10,10,0.50
4, 6,0.40,14,6,0.70
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
1, 9,0.10,11,9,0.55
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
5, 5,0.50,15,5,0.75
3, 7,0.30,13,7,0.65
1, 9,0.10,11,9,0.55
4, 6,0.40,13,7,0.65
3, 7,0.30,13,7,0.65
3, 7,0.30,13,7,0.65
2, 8,0.20,12,8,0.60
3, 7,0.30,13,7,0.65
2, 8,0.20,11,9,0.55
1, 9,0.10,10,10,0.50
1, 9,0.10,11,9,0.55
5, 5,0.50,15,5,0.75
2, 8,0.20,12,8,0.60
3, 7,0.30,13,7,0.65
2, 8,0.20,12,8,0.60
4, 6,0.40,14,6,0.70
3, 7,0.30,13,7,0.65
0, 10,0.00,10,10,0.50
2, 8,0.20,12,8,0.60
0, 10,0.00,10,10,0.50
1, 9,0.10,11,9,0.55
1, 9,0.10,11,9,0.55
4, 6,0.40,14,6,0.70
0, 10,0.00,10,10,0.50
3, 7,0.30,13,7,0.65
2, 8,0.20,11,9,0.55
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
2, 8,0.20,12,8,0.60
6, 4,0.60,16,4,0.80
2, 8,0.20,12,8,0.60
1, 9,0.10,11,9,0.55
3, 7,0.30,13,7,0.65
1, 9,0.10,11,9,0.55
4, 6,0.40,14,6,0.70
