shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
6, 4,0.60,6,4,0.60
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
7, 3,0.70,7,3,0.70
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
8, 2,0.80,8,2,0.80
