shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
10, 0,1.00,20,0,1.00
